VComment,ProjectYea,OBJECTID_1,VLPID,TileName,PointCloud,PointClo_1,PointClo_2,DEMHost,DEMDownloa,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
Current,2014,2288,23,17SQC2929,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC2929.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",133866.207900679990416,1675.837165615910180,1675.837165614661217,133866.207899999135407
Current,2014,2289,23,17SQC3129,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3129.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",1875487.338326849974692,5915.317054850952445,5915.317054860292046,1875487.338334586936980
Current,2014,2290,23,17SQC3229,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3229.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3258724.039307484868914,7190.490719467812596,7190.490719467886265,3258724.039308642502874
Current,2014,2351,23,17SQC3227,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3227.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",87810.163718834999599,1566.476154344749830,1566.476154343710732,87810.163719008050975
Current,2014,2352,23,17SQC3427,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3427.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",1422085.192781965015456,5509.568879756306160,5509.568879749145708,1422085.192776823416352
Current,2014,2353,23,17SQC3528,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3528.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3117360.749360464978963,7085.147170055535753,7085.147170048041517,3117360.749352717772126
Current,2014,2414,23,17SQC3526,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3526.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",43448.640121520002140,1101.894108073198367,1101.894108075568511,43448.640121908640140
Current,2014,2415,23,17SQC3726,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3726.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",1257884.705733194947243,5336.733970481132928,5336.733970481423967,1257884.705733715090901
Current,2014,2416,23,17SQC3826,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3826.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",2981584.566630970221013,7017.624310359841729,7017.624310355546186,2981584.566624139901251
Current,2014,2417,23,17SQC4026,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4026.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3640455.590706500224769,7632.007779488143569,7632.007779484261846,3640455.590702803805470
